,0
0,tensor([[-0.2321]])
1,tensor([[-0.2321]])
2,tensor([[-0.2321]])
3,tensor([[-0.2321]])
4,tensor([[-0.2321]])
5,tensor([[-0.2321]])
6,tensor([[-0.2321]])
7,tensor([[-0.2321]])
8,tensor([[-0.2321]])
9,tensor([[-0.2321]])
10,tensor([[-0.2321]])
11,tensor([[-0.2321]])
12,tensor([[-0.2321]])
13,tensor([[-0.2321]])
14,tensor([[-0.2321]])
15,tensor([[-0.2321]])
16,tensor([[-0.2321]])
17,tensor([[-0.2321]])
18,tensor([[-0.2321]])
19,tensor([[-0.2321]])
20,tensor([[-0.2321]])
21,tensor([[-0.2321]])
22,tensor([[-0.2321]])
23,tensor([[-0.2321]])
24,tensor([[-0.2321]])
25,tensor([[-0.2321]])
26,tensor([[-0.2321]])
27,tensor([[-0.2321]])
28,tensor([[-0.2321]])
29,tensor([[-0.2321]])
30,tensor([[-0.2321]])
31,tensor([[-0.2321]])
32,tensor([[-0.2321]])
33,tensor([[-0.2321]])
34,tensor([[-0.2321]])
35,tensor([[-0.2321]])
36,tensor([[-0.2321]])
37,tensor([[-0.2321]])
38,tensor([[-0.2321]])
39,tensor([[-0.2321]])
40,tensor([[-0.2321]])
41,tensor([[-0.2321]])
42,tensor([[-0.2321]])
43,tensor([[-0.2321]])
44,tensor([[-0.2321]])
45,tensor([[-0.2321]])
46,tensor([[-0.2321]])
47,tensor([[-0.2321]])
48,tensor([[-0.2321]])
49,tensor([[-0.2321]])
50,tensor([[-0.2321]])
51,tensor([[-0.2321]])
52,tensor([[-0.2321]])
53,tensor([[-0.2321]])
54,tensor([[-0.2321]])
55,tensor([[-0.2321]])
56,tensor([[-0.2321]])
57,tensor([[-0.2321]])
58,tensor([[-0.2321]])
59,tensor([[-0.2321]])
60,tensor([[-0.2321]])
61,tensor([[-0.2321]])
62,tensor([[-0.2321]])
63,tensor([[-0.2321]])
64,tensor([[-0.2321]])
65,tensor([[-0.2321]])
66,tensor([[-0.2321]])
67,tensor([[-0.2321]])
68,tensor([[-0.2321]])
69,tensor([[-0.2321]])
70,tensor([[-0.2321]])
71,tensor([[-0.2321]])
72,tensor([[-0.2321]])
73,tensor([[-0.2321]])
74,tensor([[-0.2321]])
75,tensor([[-0.2321]])
76,tensor([[-0.2321]])
77,tensor([[-0.2321]])
78,tensor([[-0.2321]])
79,tensor([[-0.2321]])
80,tensor([[-0.2321]])
81,tensor([[-0.2321]])
82,tensor([[-0.2321]])
83,tensor([[-0.2321]])
84,tensor([[-0.2321]])
85,tensor([[-0.2321]])
86,tensor([[-0.2321]])
87,tensor([[-0.2321]])
88,tensor([[-0.2321]])
89,tensor([[-0.2321]])
90,tensor([[-0.2321]])
91,tensor([[-0.2321]])
92,tensor([[-0.2321]])
93,tensor([[-0.2321]])
94,tensor([[-0.2321]])
95,tensor([[-0.2321]])
96,tensor([[-0.2321]])
97,tensor([[-0.2321]])
98,tensor([[-0.2321]])
99,tensor([[-0.2321]])
100,tensor([[-0.2321]])
101,tensor([[-0.2321]])
102,tensor([[-0.2321]])
103,tensor([[-0.2321]])
104,tensor([[-0.2321]])
105,tensor([[-0.2321]])
106,tensor([[-0.2321]])
107,tensor([[-0.2321]])
108,tensor([[-0.2321]])
109,tensor([[-0.2321]])
110,tensor([[-0.2321]])
111,tensor([[-0.2321]])
112,tensor([[-0.2321]])
113,tensor([[-0.2321]])
114,tensor([[-0.2321]])
115,tensor([[-0.2321]])
116,tensor([[-0.2321]])
117,tensor([[-0.2321]])
118,tensor([[-0.2321]])
119,tensor([[-0.2321]])
120,tensor([[-0.2321]])
121,tensor([[-0.2321]])
122,tensor([[-0.2321]])
123,tensor([[-0.2321]])
124,tensor([[-0.2321]])
125,tensor([[-0.2321]])
126,tensor([[-0.2321]])
127,tensor([[-0.2321]])
128,tensor([[-0.2321]])
129,tensor([[-0.2321]])
130,tensor([[-0.2321]])
131,tensor([[-0.2321]])
132,tensor([[-0.2321]])
133,tensor([[-0.2321]])
134,tensor([[-0.2321]])
135,tensor([[-0.2321]])
136,tensor([[-0.2321]])
137,tensor([[-0.2321]])
138,tensor([[-0.2321]])
139,tensor([[-0.2321]])
140,tensor([[-0.2321]])
141,tensor([[-0.2321]])
142,tensor([[-0.2321]])
143,tensor([[-0.2321]])
144,tensor([[-0.2321]])
145,tensor([[-0.2321]])
146,tensor([[-0.2321]])
147,tensor([[-0.2321]])
148,tensor([[-0.2321]])
149,tensor([[-0.2321]])
150,tensor([[-0.2321]])
151,tensor([[-0.2321]])
152,tensor([[-0.2321]])
153,tensor([[-0.2321]])
154,tensor([[-0.2321]])
155,tensor([[-0.2321]])
156,tensor([[-0.2321]])
157,tensor([[-0.2321]])
158,tensor([[-0.2321]])
159,tensor([[-0.2321]])
160,tensor([[-0.2321]])
161,tensor([[-0.2321]])
162,tensor([[-0.2321]])
163,tensor([[-0.2321]])
164,tensor([[-0.2321]])
165,tensor([[-0.2321]])
166,tensor([[-0.2321]])
167,tensor([[-0.2321]])
168,tensor([[-0.2321]])
169,tensor([[-0.2321]])
170,tensor([[-0.2321]])
171,tensor([[-0.2321]])
172,tensor([[-0.2321]])
173,tensor([[-0.2321]])
174,tensor([[-0.2321]])
175,tensor([[-0.2321]])
176,tensor([[-0.2321]])
177,tensor([[-0.2321]])
178,tensor([[-0.2321]])
179,tensor([[-0.2321]])
180,tensor([[-0.2321]])
181,tensor([[-0.2321]])
182,tensor([[-0.2321]])
183,tensor([[-0.2321]])
184,tensor([[-0.2321]])
185,tensor([[-0.2321]])
186,tensor([[-0.2321]])
187,tensor([[-0.2321]])
188,tensor([[-0.2321]])
189,tensor([[-0.2321]])
190,tensor([[-0.2321]])
191,tensor([[-0.2321]])
192,tensor([[-0.2321]])
193,tensor([[-0.2321]])
194,tensor([[-0.2321]])
195,tensor([[-0.2321]])
196,tensor([[-0.2321]])
197,tensor([[-0.2321]])
198,tensor([[-0.2321]])
199,tensor([[-0.2321]])
200,tensor([[-0.2321]])
201,tensor([[-0.2321]])
202,tensor([[-0.2321]])
203,tensor([[-0.2321]])
204,tensor([[-0.2321]])
205,tensor([[-0.2321]])
206,tensor([[-0.2321]])
207,tensor([[-0.2321]])
208,tensor([[-0.2321]])
209,tensor([[-0.2321]])
210,tensor([[-0.2321]])
211,tensor([[-0.2321]])
212,tensor([[-0.2321]])
213,tensor([[-0.2321]])
214,tensor([[-0.2321]])
215,tensor([[-0.2321]])
216,tensor([[-0.2321]])
217,tensor([[-0.2321]])
218,tensor([[-0.2321]])
219,tensor([[-0.2321]])
220,tensor([[-0.2321]])
221,tensor([[-0.2321]])
222,tensor([[-0.2321]])
223,tensor([[-0.2321]])
224,tensor([[-0.2321]])
225,tensor([[-0.2321]])
226,tensor([[-0.2321]])
227,tensor([[-0.2321]])
228,tensor([[-0.2321]])
229,tensor([[-0.2321]])
230,tensor([[-0.2321]])
231,tensor([[-0.2321]])
232,tensor([[-0.2321]])
233,tensor([[-0.2321]])
234,tensor([[-0.2321]])
235,tensor([[-0.2321]])
236,tensor([[-0.2321]])
237,tensor([[-0.2321]])
238,tensor([[-0.2321]])
239,tensor([[-0.2321]])
240,tensor([[-0.2321]])
241,tensor([[-0.2321]])
242,tensor([[-0.2321]])
243,tensor([[-0.2321]])
244,tensor([[-0.2321]])
245,tensor([[-0.2321]])
246,tensor([[-0.2321]])
247,tensor([[-0.2321]])
248,tensor([[-0.2321]])
249,tensor([[-0.2321]])
250,tensor([[-0.2321]])
251,tensor([[-0.2321]])
252,tensor([[-0.2321]])
253,tensor([[-0.2321]])
254,tensor([[-0.2321]])
255,tensor([[-0.2321]])
256,tensor([[-0.2321]])
257,tensor([[-0.2321]])
258,tensor([[-0.2321]])
259,tensor([[-0.2321]])
260,tensor([[-0.2321]])
261,tensor([[-0.2321]])
262,tensor([[-0.2321]])
263,tensor([[-0.2321]])
264,tensor([[-0.2321]])
265,tensor([[-0.2321]])
266,tensor([[-0.2321]])
267,tensor([[-0.2321]])
268,tensor([[-0.2321]])
269,tensor([[-0.2321]])
