,0
0,tensor([[-0.1901]])
1,tensor([[-0.1901]])
2,tensor([[-0.1901]])
3,tensor([[-0.1901]])
4,tensor([[-0.1901]])
5,tensor([[-0.1901]])
6,tensor([[-0.1901]])
7,tensor([[-0.1901]])
8,tensor([[-0.1901]])
9,tensor([[-0.1901]])
10,tensor([[-0.1901]])
11,tensor([[-0.1901]])
12,tensor([[-0.1901]])
13,tensor([[-0.1901]])
14,tensor([[-0.1901]])
15,tensor([[-0.1901]])
16,tensor([[-0.1901]])
17,tensor([[-0.1901]])
18,tensor([[-0.1901]])
19,tensor([[-0.1901]])
20,tensor([[-0.1901]])
21,tensor([[-0.1901]])
22,tensor([[-0.1901]])
23,tensor([[-0.1901]])
24,tensor([[-0.1901]])
25,tensor([[-0.1901]])
26,tensor([[-0.1901]])
27,tensor([[-0.1901]])
28,tensor([[-0.1901]])
29,tensor([[-0.1901]])
30,tensor([[-0.1901]])
31,tensor([[-0.1901]])
32,tensor([[-0.1901]])
33,tensor([[-0.1901]])
34,tensor([[-0.1901]])
35,tensor([[-0.1901]])
36,tensor([[-0.1901]])
37,tensor([[-0.1901]])
38,tensor([[-0.1901]])
39,tensor([[-0.1901]])
40,tensor([[-0.1901]])
41,tensor([[-0.1901]])
42,tensor([[-0.1901]])
43,tensor([[-0.1901]])
44,tensor([[-0.1901]])
45,tensor([[-0.1901]])
46,tensor([[-0.1901]])
47,tensor([[-0.1901]])
48,tensor([[-0.1901]])
49,tensor([[-0.1901]])
50,tensor([[-0.1901]])
51,tensor([[-0.1901]])
52,tensor([[-0.1901]])
53,tensor([[-0.1901]])
54,tensor([[-0.1901]])
55,tensor([[-0.1901]])
56,tensor([[-0.1901]])
57,tensor([[-0.1901]])
58,tensor([[-0.1901]])
59,tensor([[-0.1901]])
60,tensor([[-0.1901]])
61,tensor([[-0.1901]])
62,tensor([[-0.1901]])
63,tensor([[-0.1901]])
64,tensor([[-0.1901]])
65,tensor([[-0.1901]])
66,tensor([[-0.1901]])
67,tensor([[-0.1901]])
68,tensor([[-0.1901]])
69,tensor([[-0.1901]])
70,tensor([[-0.1901]])
71,tensor([[-0.1901]])
72,tensor([[-0.1901]])
73,tensor([[-0.1901]])
74,tensor([[-0.1901]])
75,tensor([[-0.1901]])
76,tensor([[-0.1901]])
77,tensor([[-0.1901]])
78,tensor([[-0.1901]])
79,tensor([[-0.1901]])
80,tensor([[-0.1901]])
81,tensor([[-0.1901]])
82,tensor([[-0.1901]])
83,tensor([[-0.1901]])
84,tensor([[-0.1901]])
85,tensor([[-0.1901]])
86,tensor([[-0.1901]])
87,tensor([[-0.1901]])
88,tensor([[-0.1901]])
89,tensor([[-0.1901]])
90,tensor([[-0.1901]])
91,tensor([[-0.1901]])
92,tensor([[-0.1901]])
93,tensor([[-0.1901]])
94,tensor([[-0.1901]])
95,tensor([[-0.1901]])
96,tensor([[-0.1901]])
97,tensor([[-0.1901]])
98,tensor([[-0.1901]])
99,tensor([[-0.1901]])
